APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
N,21571,31,0,1,V3A7H6,1,1,0,31.21083333,137.0866667,,4750.680833,311292.9908,0,0,0.166666667,12.66666667,33.58333333,0.833333333,5,0,5,0,0,B,800,300,1102,33191.25,1624.137931
Y,21608,37,0,1,V5S3H4,1,0,290.3225,0.0525,359.4425,18062.08167,7171.65,,1,0,15.66666667,12.33333333,14.5,6.416666667,5.416666667,0.083333333,4.7,1,4,C,630,290,1224,26388.88889,4300
N,21624,40,1,0,V5H3J9,1,0,7.8025,0,67.74,10696.62667,2877.502727,,1,0,0.25,1.25,1.416666667,0.416666667,0,0,5,0,1,C,870,280,1260,24297.70115,3603.448276
N,21647,51,0,1,V3G1C6,1,1,0,180.9625,238.2575,,12545.24417,,0,0,2.166666667,18.58333333,47.91666667,9.25,15.41666667,0,4,0,0,D,9350,3630,17502,33861.06952,3897.393365
N,21706,39,1,0,V5C3C5,1,0,8.643333333,181.3375,248.5408333,7284.9,4005.166667,,0,0,0.416666667,2.083333333,11.25,0,0,0,4.3,-1,-2,D,530,240,1046,27330.18868,3748.717949
N,21731,48,1,0,V6L1V7,0,0,12.25333333,0,275.4433333,,0,,0,0,0.083333333,0,0,0,0,0,4,0,0,E,560,270,1895,52989.28571,7940.384615
Y,21763,47,1,0,V8S4X8,1,0,0,2128.019167,2185.954167,,13988.42333,,0,0,0.666666667,23.58333333,2.25,16.83333333,0.083333333,0,4,0,0,D,470,200,1082,37157.44681,7064.864865
Y,21767,61,0,1,V3M5Z1,1,1,342.7816667,1671.909167,3085.965833,9927.996667,3159.382,110950.3933,0,0,16.5,12.16666667,56.08333333,4.666666667,0,0,5.3,0,0,A,630,180,555,27390.47619,5815.789474
Y,21787,28,1,0,V7M1Y9,1,1,2119.166667,524.0333333,2748.55,,15075.36083,189503.2108,0,0,0,0.75,2.583333333,2,1.416666667,0,5,0,0,A,850,330,1564,32344.70588,2632.432432
Y,21963,54,0,1,V5G1V3,1,0,565.8941667,545.2483333,1794.328333,,50894.58333,137675.2917,0,0,4,7.166666667,4.75,2.166666667,0.583333333,0,5.1,0,0,A,290,150,880,35779.31035,3865.217391
Y,22012,67,1,0,V7T1G2,1,0,3352.658333,6624.395,22220.93083,9000,10059.54857,146851.8714,0,0,10.33333333,10.83333333,0.083333333,4.5,0,0,5.2,-2,-2,A,650,170,891,31866.15385,6730.508475
